Architecture,Seq Length,Accuracy mean,Accuracy std,F1 mean,F1 std,Epoch Time (s) mean
LSTM,25,0.6344333333333333,0.10912145869015255,0.6317334643681048,0.11256511800506325,12.202177047729492
LSTM,50,0.6705866666666666,0.13525321004200477,0.659875242196377,0.15144282275997042,34.27568245331446
LSTM,100,0.69904,0.1590926331418272,0.6865335750611431,0.17617831985879062,65.4143811583519
RNN,25,0.6431933333333334,0.10282397150057722,0.6146690779536098,0.15358632931321936,6.617416048049926
RNN,50,0.67069,0.1200737593012198,0.6403099632511579,0.1702584420851303,9.364491204420725
